Column1;Column2;Column3;Column4;PENIDIDIKAN;DOMISILI;NEGARA;NPSN;NAMA SEKOLAH;NAMA FILE
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Arab Saudi;90101007;SEKOLAH INDONESIA RIYADH TINGKAT SD;82a899ab1a6b2bdb2a07ed78326f5f4e.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Arab Saudi;90101014;SEKOLAH SI JEDDAH TINGKAT SD;a45c242530994396b64f68e1b33ed848.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Arab Saudi;90101055;SEKOLAH INDONESIA MEKKAH TINGKAT SD;60e2f54224a719a7291ef984aca23b4e.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Belanda;90101057;Sekolah Indonesia Nederland Tingkat SD;50be4da0de1c6ca9d3a557bd7570f617.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Filipina;90101032;SEKOLAH SI DAVAO TINGKAT SD;51ce5b8b7920eb71492c75b14caa6e0b.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Japan;90101023;Sekolah SI Tokyo Tingkat SD;5a3e766133d00e15b37b492f9b86856d.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Malaysia;69962248;SEKOLAH SI JOHOR BAHRU SIJB TINGKAT SD;ea0c2ccb0a361f11c8479368c6ba046e.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Malaysia;69971941;CLC Kim Loong;f9d3903c409c835f176ab6e929e8df40.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Malaysia;69971967;CLC Kretam Sapagaya;fc7bc07f1b48e01c3c7bcdd7dcfe8908.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Malaysia;69971981;CLC Cahaya Tagas;87e7e45b6ca42ed457c75f3947c1ee86.pmp
D:;RANDOM;DATA;DATA;SD;Luar Negeri;Malaysia;69971982;CLC Kuari 3 Gumgum;338ebac7e2ffbd1bfef40b692a2f2e5d.pmp
